"file","topic","sentiment","opinion","node"
"kandidat_45",7,"positive",1,"topic_7_positive"
"kandidat_45",8,"negative",-1,"topic_8_negative"
"kandidat_45",9,"negative",-1,"topic_9_negative"
"kandidat_45",10,"positive",1,"topic_10_positive"
"kandidat_46",1,"positive",1,"topic_1_positive"
"kandidat_46",2,"positive",1,"topic_2_positive"
"kandidat_46",3,"negative",-1,"topic_3_negative"
"kandidat_46",4,"positive",1,"topic_4_positive"
"kandidat_46",5,"negative",-1,"topic_5_negative"
"kandidat_46",6,"negative",-1,"topic_6_negative"
"kandidat_46",7,"positive",1,"topic_7_positive"
"kandidat_46",8,"negative",-1,"topic_8_negative"
"kandidat_46",9,"negative",-1,"topic_9_negative"
"kandidat_46",10,"positive",1,"topic_10_positive"
"kandidat_47",1,"positive",1,"topic_1_positive"
"kandidat_47",2,"positive",1,"topic_2_positive"
"kandidat_47",3,"negative",-1,"topic_3_negative"
"kandidat_47",4,"positive",1,"topic_4_positive"
"kandidat_47",5,"negative",-1,"topic_5_negative"
"kandidat_47",6,"negative",-1,"topic_6_negative"
"kandidat_47",7,"positive",1,"topic_7_positive"
"kandidat_47",8,"positive",1,"topic_8_positive"
"kandidat_47",9,"positive",1,"topic_9_positive"
"kandidat_47",10,"negative",-1,"topic_10_negative"
"kandidat_48",1,"negative",-1,"topic_1_negative"
"kandidat_48",2,"positive",1,"topic_2_positive"
"kandidat_48",3,"negative",-1,"topic_3_negative"
"kandidat_48",4,"positive",1,"topic_4_positive"
"kandidat_48",5,"negative",-1,"topic_5_negative"
"kandidat_48",6,"negative",-1,"topic_6_negative"
"kandidat_48",7,"negative",-1,"topic_7_negative"
"kandidat_48",8,"negative",-1,"topic_8_negative"
"kandidat_48",9,"positive",1,"topic_9_positive"
"kandidat_48",10,"positive",1,"topic_10_positive"
"kandidat_49",1,"positive",1,"topic_1_positive"
"kandidat_49",2,"positive",1,"topic_2_positive"
"kandidat_49",3,"negative",-1,"topic_3_negative"
"kandidat_49",4,"positive",1,"topic_4_positive"
"kandidat_49",5,"negative",-1,"topic_5_negative"
"kandidat_49",6,"negative",-1,"topic_6_negative"
"kandidat_49",7,"positive",1,"topic_7_positive"
"kandidat_49",8,"negative",-1,"topic_8_negative"
"kandidat_49",9,"negative",-1,"topic_9_negative"
"kandidat_49",10,"positive",1,"topic_10_positive"
"kandidat_50",1,"positive",1,"topic_1_positive"
"kandidat_50",2,"positive",1,"topic_2_positive"
"kandidat_50",3,"negative",-1,"topic_3_negative"
"kandidat_50",4,"positive",1,"topic_4_positive"
"kandidat_50",5,"positive",1,"topic_5_positive"
"kandidat_50",6,"positive",1,"topic_6_positive"
"kandidat_50",7,"positive",1,"topic_7_positive"
"kandidat_50",8,"positive",1,"topic_8_positive"
"kandidat_50",9,"negative",-1,"topic_9_negative"
"kandidat_50",10,"positive",1,"topic_10_positive"
"kandidat_51",1,"positive",1,"topic_1_positive"
"kandidat_51",2,"positive",1,"topic_2_positive"
"kandidat_51",3,"positive",1,"topic_3_positive"
"kandidat_51",4,"positive",1,"topic_4_positive"
"kandidat_51",5,"positive",1,"topic_5_positive"
"kandidat_51",6,"positive",1,"topic_6_positive"
"kandidat_51",7,"positive",1,"topic_7_positive"
"kandidat_51",8,"negative",-1,"topic_8_negative"
"kandidat_51",9,"negative",-1,"topic_9_negative"
"kandidat_51",10,"positive",1,"topic_10_positive"
"kandidat_52",1,"positive",1,"topic_1_positive"
"kandidat_52",2,"positive",1,"topic_2_positive"
"kandidat_52",3,"positive",1,"topic_3_positive"
"kandidat_52",4,"positive",1,"topic_4_positive"
"kandidat_52",5,"negative",-1,"topic_5_negative"
"kandidat_52",6,"negative",-1,"topic_6_negative"
"kandidat_52",7,"positive",1,"topic_7_positive"
"kandidat_52",8,"positive",1,"topic_8_positive"
"kandidat_52",9,"positive",1,"topic_9_positive"
"kandidat_52",10,"negative",-1,"topic_10_negative"
"kandidat_53",1,"positive",1,"topic_1_positive"
"kandidat_53",2,"positive",1,"topic_2_positive"
"kandidat_53",3,"positive",1,"topic_3_positive"
"kandidat_53",4,"positive",1,"topic_4_positive"
"kandidat_53",5,"positive",1,"topic_5_positive"
